hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
QdTs,41.72,0.482,0,0,0.063,0.343,0.076,0,0,13.067,71.23,15.703,1.6713,1.6679,1.6711,1.6637,1.673,1.6699
Ad4h,41.687,0.428,0,0,0.03,0.395,0.003,0,0,6.999,92.254,0.747,1.3182,1.3167,1.3178,1.3106,1.3188,1.3181
Ad4c,41.687,0.428,0,0,0.03,0.395,0.003,0,0,6.999,92.254,0.747,1.3182,1.3167,1.3178,1.3106,1.3188,1.3181
Ac4d,41.644,0.428,0,0,0,0.382,0.046,0,0,0,89.17,10.83,1.2948,1.2913,1.2908,1.2904,1.2949,1.2936
Ah4d,41.644,0.428,0,0,0,0.382,0.046,0,0,0,89.17,10.83,1.2948,1.2913,1.2908,1.2904,1.2949,1.2936
QdTd,41.64,0.434,0,0,0.048,0.282,0.104,0,0,10.975,64.95,24.075,1.8296,1.8107,1.8258,1.8222,1.8326,1.8248
Ac4c,41.573,0.378,0,0,0.025,0.299,0.054,0,0,6.525,79.173,14.301,1.2714,1.2691,1.2707,1.2657,1.2727,1.2666
Ah4h,41.573,0.378,0,0,0.025,0.299,0.054,0,0,6.526,79.173,14.301,1.2714,1.2691,1.2707,1.2657,1.2727,1.2666
Ac4h,41.563,0.428,0,0,0,0.312,0.116,0,0,0,72.936,27.064,1.2674,1.2645,1.2666,1.2621,1.269,1.2633
Ah4c,41.563,0.428,0,0,0,0.312,0.116,0,0,0,72.936,27.064,1.2674,1.2645,1.2666,1.2621,1.269,1.2633
QhTs,41.477,0.482,0,0,0.019,0.402,0.061,0,0,3.866,83.491,12.643,1.622,1.6177,1.6217,1.6181,1.6226,1.6193
QcTs,41.477,0.482,0,0,0.019,0.402,0.061,0,0,3.866,83.491,12.643,1.622,1.6177,1.6217,1.6181,1.6226,1.6193
Ad3h,41.446,0.208,0,0,0.026,0.182,0,0,0,12.342,87.658,0,1.3307,1.3297,1.3298,1.3208,1.3321,1.3304
Ad3c,41.446,0.208,0,0,0.026,0.182,0,0,0,12.342,87.658,0,1.3307,1.3297,1.3298,1.3208,1.3321,1.3304
Ah3d,41.392,0.208,0,0,0,0.207,0.001,0,0,0,99.456,0.544,1.3047,1.3023,1.298,1.2946,1.3047,1.3042
Ac3d,41.392,0.208,0,0,0,0.207,0.001,0,0,0,99.456,0.544,1.3047,1.3023,1.298,1.2946,1.3047,1.3042
Ah3h,41.344,0.452,0,0,0.074,0.373,0.005,0,0.005,16.3,82.582,1.113,1.2844,1.2835,1.2845,1.2753,1.2863,1.2825
Ac3c,41.344,0.452,0,0,0.074,0.373,0.005,0,0.005,16.3,82.582,1.113,1.2844,1.2835,1.2845,1.2753,1.2863,1.2825
Ac3h,41.323,0.208,0,0,0.004,0.136,0.069,0,0,1.696,65.357,32.947,1.2769,1.2744,1.2762,1.2674,1.2785,1.2743
Ah3c,41.323,0.208,0,0,0.004,0.136,0.069,0,0,1.696,65.357,32.947,1.2769,1.2744,1.2762,1.2674,1.2785,1.2743
QdJh,40.524,0.506,0,0,0.029,0.314,0.163,0,0.001,5.664,62.06,32.275,1.4244,1.4203,1.4244,1.4206,1.4268,1.4205
QdJc,40.524,0.506,0,0,0.029,0.314,0.163,0,0.001,5.664,62.06,32.275,1.4244,1.4203,1.4244,1.4206,1.4268,1.4205
QhJd,40.466,0.506,0,0,0.025,0.345,0.136,0,0,4.897,68.172,26.932,1.4194,1.4118,1.4175,1.4154,1.4213,1.4155
QcJd,40.466,0.506,0,0,0.025,0.345,0.136,0,0,4.897,68.171,26.932,1.4194,1.4118,1.4175,1.4154,1.4213,1.4155
QcJc,40.268,0.42,0,0,0.019,0.251,0.15,0,0.001,4.5,59.837,35.663,1.377,1.3698,1.377,1.3736,1.3799,1.3725
QhJh,40.268,0.42,0,0,0.019,0.251,0.15,0,0.001,4.5,59.837,35.663,1.377,1.3698,1.377,1.3736,1.3799,1.3725
QcJh,40.265,0.506,0,0,0.011,0.293,0.202,0,0.001,2.209,57.912,39.878,1.3753,1.3684,1.3754,1.3724,1.3781,1.3714
QhJc,40.265,0.506,0,0,0.011,0.293,0.202,0,0.001,2.209,57.912,39.878,1.3753,1.3684,1.3754,1.3724,1.3781,1.3714
Qs9d,39.417,0.468,0,0,0.03,0.408,0.03,0,0,6.482,87.074,6.445,1.6422,1.6297,1.6369,1.637,1.6427,1.6411
Qs9h,39.299,0.468,0,0,0.057,0.348,0.063,0,0.014,12.163,74.396,13.427,1.5892,1.5892,1.5893,1.5802,1.591,1.5873
Qs9c,39.299,0.468,0,0,0.057,0.348,0.063,0,0.014,12.163,74.396,13.427,1.5892,1.5892,1.5893,1.5802,1.591,1.5873
Qd9s,39.13,0.468,0,0,0.003,0.45,0.015,0,0,0.685,96.168,3.147,1.5324,1.5323,1.5268,1.5314,1.5324,1.531
Qd9d,39.125,0.422,0,0,0.074,0.17,0.178,0,0.042,17.431,40.345,42.182,1.6369,1.6355,1.6369,1.6284,1.6427,1.6348
Qc9s,38.897,0.468,0,0,0.03,0.39,0.048,0,0,6.343,83.306,10.351,1.4767,1.4765,1.476,1.4718,1.4773,1.4745
Qh9s,38.897,0.468,0,0,0.03,0.39,0.048,0,0,6.343,83.306,10.351,1.4767,1.4765,1.476,1.4718,1.4773,1.4745
QdTh,38.554,0.482,0,0,0.012,0.434,0.036,0,0.001,2.465,90.022,7.512,1.3707,1.3694,1.3707,1.3672,1.3709,1.3686
QdTc,38.554,0.482,0,0,0.012,0.434,0.036,0,0.001,2.464,90.022,7.512,1.3707,1.3694,1.3707,1.3672,1.3709,1.3686
QcTd,38.465,0.482,0,0,0.008,0.429,0.045,0,0,1.672,88.903,9.425,1.3543,1.3528,1.354,1.3525,1.3544,1.3529
QhTd,38.465,0.482,0,0,0.008,0.429,0.045,0,0,1.672,88.903,9.425,1.3543,1.3528,1.354,1.3525,1.3544,1.3529
QhTc,38.308,0.482,0,0,0.04,0.318,0.124,0,0.005,8.314,66.05,25.632,1.314,1.314,1.3141,1.3091,1.3157,1.3111
QcTh,38.308,0.482,0,0,0.04,0.318,0.124,0,0.005,8.314,66.05,25.632,1.3138,1.314,1.3141,1.3091,1.3157,1.3104
QcTc,38.304,0.434,0,0,0.025,0.276,0.133,0,0.006,5.695,63.569,30.729,1.3131,1.3126,1.313,1.308,1.3145,1.3111
QhTh,38.304,0.434,0,0,0.025,0.276,0.133,0,0.006,5.695,63.569,30.729,1.3129,1.3126,1.313,1.308,1.3145,1.3104
JsTd,37.299,0.446,0,0,0.125,0.23,0.09,0.008,0.035,28.048,51.642,20.266,1.8082,1.8081,1.8079,1.7999,1.8133,1.8065
JsTh,37.152,0.446,0,0,0.041,0.35,0.055,0.001,0.023,9.192,78.376,12.407,1.7757,1.7755,1.7754,1.7672,1.777,1.7734
JsTc,37.152,0.446,0,0,0.041,0.35,0.055,0.001,0.023,9.192,78.376,12.407,1.7757,1.7755,1.7754,1.7672,1.777,1.7734
JdTs,37.064,0.446,0,0,0.077,0.292,0.077,0,0.01,17.369,65.431,17.19,1.7688,1.7678,1.7686,1.7595,1.772,1.7663
JdTd,37.056,0.466,0,0,0.022,0.444,0,0,0,4.68,95.32,0,1.9103,1.8812,1.8973,1.9072,1.9105,1.8981
JcTs,36.882,0.446,0,0,0.029,0.364,0.053,0,0.007,6.477,81.645,11.871,1.7247,1.7218,1.7245,1.7193,1.7254,1.7225
JhTs,36.882,0.446,0,0,0.029,0.364,0.053,0,0.007,6.477,81.645,11.871,1.7247,1.7218,1.7245,1.7193,1.7254,1.7225
Qd9h,35.93,0.468,0,0,0.015,0.438,0.015,0,0.005,3.175,93.666,3.154,1.2167,1.216,1.2167,1.2152,1.2168,1.216
Qd9c,35.93,0.468,0,0,0.015,0.438,0.015,0,0.005,3.175,93.666,3.154,1.2167,1.216,1.2167,1.2152,1.2168,1.216
Qh9d,35.812,0.468,0,0,0.004,0.46,0.003,0,0,0.945,98.368,0.687,1.2169,1.202,1.2057,1.2164,1.2169,1.2167
Qc9d,35.812,0.468,0,0,0.004,0.46,0.003,0,0,0.945,98.368,0.687,1.2168,1.202,1.2057,1.2164,1.2169,1.2167
Qh9h,35.706,0.422,0,0,0.012,0.344,0.066,0,0,2.935,81.449,15.616,1.1605,1.1604,1.1604,1.1584,1.161,1.1582
Qc9c,35.706,0.422,0,0,0.012,0.344,0.066,0,0,2.935,81.449,15.616,1.1605,1.1604,1.1604,1.1584,1.161,1.1582
Qh9c,35.695,0.468,0,0,0.008,0.361,0.098,0.001,0.006,1.789,77.22,20.983,1.1573,1.1573,1.1573,1.1553,1.1579,1.1554
Qc9h,35.695,0.468,0,0,0.008,0.361,0.098,0.001,0.006,1.789,77.22,20.983,1.1573,1.1573,1.1573,1.1553,1.1579,1.1554
Qd7d,35.683,0.524,0,0,0.065,0.363,0.096,0,0.001,12.366,69.245,18.389,1.4128,1.4077,1.4127,1.4047,1.415,1.4101
Qd6d,35.004,0.406,0,0,0.014,0.288,0.104,0,0,3.54,70.819,25.641,1.3846,1.3834,1.382,1.3827,1.3862,1.3805
Js9d,34.993,0.466,0,0,0.074,0.357,0.034,0,0,15.933,76.709,7.358,1.6761,1.6627,1.6685,1.6664,1.6782,1.6751
Js9h,34.878,0.466,0,0,0.087,0.316,0.063,0.007,0.034,18.575,67.852,13.533,1.6203,1.6204,1.6203,1.6093,1.6237,1.6186
Js9c,34.878,0.466,0,0,0.087,0.316,0.063,0.007,0.034,18.575,67.852,13.533,1.6203,1.6204,1.6203,1.6093,1.6237,1.6186
Jd9d,34.832,0.408,0,0,0.048,0.263,0.097,0,0.012,11.812,64.356,23.82,1.7094,1.7079,1.7093,1.7021,1.7121,1.7055
Jd9s,34.763,0.466,0,0,0.026,0.42,0.02,0,0,5.519,90.155,4.326,1.6227,1.619,1.622,1.6155,1.6232,1.6216
Jc9s,34.587,0.466,0,0,0.059,0.349,0.058,0,0.007,12.767,74.879,12.348,1.5729,1.5729,1.573,1.5625,1.5751,1.5709
Jh9s,34.587,0.466,0,0,0.059,0.349,0.058,0,0.007,12.767,74.879,12.348,1.5729,1.5729,1.573,1.5625,1.5751,1.5709
Qd5d,34.398,0.49,0,0,0.031,0.328,0.131,0,0.007,6.241,66.998,26.754,1.3553,1.3549,1.3552,1.3516,1.3573,1.3509
