hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
JsTd,41.904,0.446,0.361,0,0.003,0.008,0.074,80.889,0,0.614,1.898,16.599,2.7679,2.7679,2.7675,2.7679,2.7681,2.768
JcTh,41.855,0.446,0.331,0,0.01,0.039,0.066,74.281,0.001,2.249,8.67,14.8,2.7535,2.7533,2.7533,2.7527,2.7547,2.7534
JhTc,41.801,0.446,0.324,0,0.007,0.049,0.065,72.667,0.002,1.562,11.095,14.674,2.734,2.7339,2.7341,2.7337,2.7349,2.7341
JdTh,41.801,0.446,0.311,0,0.007,0.034,0.093,69.83,0,1.657,7.637,20.876,2.7331,2.7329,2.7329,2.7326,2.7342,2.7333
JhTd,41.796,0.446,0.312,0,0.008,0.034,0.091,70.054,0.004,1.766,7.707,20.469,2.7294,2.7293,2.7295,2.729,2.7298,2.7298
JhTs,41.772,0.446,0.319,0,0.013,0.051,0.064,71.467,0.003,2.806,11.364,14.359,2.7353,2.7351,2.7354,2.7348,2.7362,2.7356
JsTh,41.768,0.446,0.344,0,0.011,0.037,0.054,77.085,0.001,2.391,8.31,12.214,2.744,2.7438,2.7439,2.7435,2.7455,2.7443
JhTh,41.666,0.466,0.225,0,0.034,0.126,0.082,48.188,0,7.272,26.944,17.595,2.7072,2.7071,2.7069,2.7042,2.7086,2.7065
4s4c,40.525,0.4,0.004,0,0.005,0.124,0.268,0.896,0,1.152,31.054,66.898,1.8224,1.8218,1.8081,1.822,1.8234,1.8219
4d4c,40.521,0.4,0,0,0,0.096,0.304,0,0,0,24.023,75.977,1.8223,1.7983,1.8053,1.821,1.8234,1.8219
4c4h,40.478,0.4,0,0,0,0.056,0.344,0,0,0,14.112,85.888,1.76,1.711,1.7435,1.758,1.7608,1.7599
4s4d,40.452,0.4,0,0,0,0.095,0.305,0,0,0.014,23.831,76.155,1.8283,1.8032,1.8108,1.8282,1.8299,1.8278
4s4h,40.409,0.4,0,0,0,0.068,0.332,0,0,0.104,16.988,82.909,1.7652,1.7223,1.7483,1.7649,1.7672,1.7649
4d4h,40.405,0.4,0,0,0,0.041,0.359,0,0,0,10.225,89.775,1.766,1.6938,1.7447,1.7593,1.7672,1.7659
Kc9c,40.397,0.44,0,0,0,0,0.44,0,0,0,0,100,1.626,1.5511,1.5736,1.6018,1.5985,1.626
Kd9d,40.363,0.44,0,0,0,0,0.44,0,0,0,0,100,1.521,1.4362,1.4623,1.4961,1.4977,1.521
Ks9s,40.186,0.44,0,0,0,0,0.44,0,0,0,0,100,1.5304,1.4716,1.4941,1.5166,1.5125,1.5304
Kc8c,39.471,0.308,0,0,0,0.001,0.307,0,0,0,0.319,99.681,1.6095,1.5506,1.5783,1.6067,1.61,1.6095
Kd8d,39.371,0.308,0,0,0,0,0.308,0,0,0,0,100,1.5016,1.4337,1.4555,1.491,1.4971,1.5016
Ks8s,39.251,0.308,0,0,0.002,0,0.306,0,0,0.551,0,99.449,1.5165,1.47,1.4875,1.5165,1.5153,1.5165
Kc7c,38.715,0.368,0,0,0.003,0.153,0.212,0,0,0.937,41.514,57.549,1.6173,1.583,1.5961,1.6169,1.6192,1.6159
3s3c,38.708,0.404,0.164,0,0.005,0.067,0.168,40.559,0,1.218,16.689,41.534,1.8234,1.823,1.821,1.823,1.8247,1.8234
3d3c,38.704,0.404,0.128,0,0.005,0.056,0.216,31.665,0,1.199,13.786,53.35,1.8197,1.8193,1.8126,1.8192,1.8209,1.8196
3s3d,38.683,0.404,0.125,0,0.006,0.065,0.209,30.851,0,1.478,15.994,51.676,1.8254,1.8248,1.8224,1.8251,1.8267,1.8253
3c3h,38.677,0.404,0,0,0.009,0.066,0.329,0,0,2.186,16.268,81.546,1.7509,1.7413,1.747,1.7502,1.7517,1.7507
3s3h,38.656,0.404,0,0,0.007,0.082,0.314,0,0,1.788,20.41,77.802,1.756,1.7525,1.7535,1.7555,1.757,1.7557
3d3h,38.652,0.404,0,0,0.007,0.047,0.35,0,0,1.738,11.726,86.536,1.7547,1.7482,1.7504,1.7542,1.7558,1.7546
Kd7d,38.638,0.368,0,0,0.003,0.118,0.247,0,0,0.931,32,67.07,1.5071,1.4677,1.4761,1.5067,1.5082,1.5066
Ks7s,38.616,0.368,0,0,0.009,0.138,0.221,0,0,2.419,37.391,60.19,1.5268,1.4937,1.5078,1.5259,1.5286,1.5258
